标签,实体,正文
2,"[歼11B战斗机,歼轰7A战斗轰炸机]","对比昔日的歼8二战斗机，歼11B战斗机是一款双发重型战斗机，作战半径高达1500公里，可以挂载霹雳-11、霹雳12等各型中远程空空导弹实施超视距打击，也可以挂载多型国产空地导弹实施对地精确打击，配合歼轰7A战斗轰炸机的强大反舰火力，共同构成了完善的攻防火力体系。
"
2,"[歼-20,J-16,J-10,Y-20]","眼尖的军迷认出，这应该是加油机常用的空中加油吊舱，这意味着运20的加油机型号终于出现了！运20机翼上挂载的吊舱，应该是与伊尔78一样的软管加油吊舱，配合歼16、歼10、歼20上的空中加油管来进行燃油输送。
"
2,"[AH-64武装直升机,AC-130]","据当时参战的士兵说，如果不是还有AC-130""空中炮艇”的支援，整个行动恐怕都得泡汤，AH-64在这场战争中受到了严重的打击"
2,"[歼-11,轰6,苏-35,空警-2000预警机]","据报道，这次绕飞台岛巡航，多架轰-6K战机分别从台岛南北两端同时双向飞行，空警-2000预警机和苏-35、歼-11等战机，前出巴士海峡、宫古海峡区域实施指挥控制和伴随掩护，预警侦察、轰炸突击、支援掩护一体行动，构建起海上空中作战力量体系。
"
2,"[F-4战斗机,HC130P,F105,A7,F9]","美军为这次行动组织了袭击分队和支援分队，袭击分队以一架C-130为先导，包括5架CH-53A直升机；支援分队同样以一架C-130为先导，包括5架攻击机，一架负责加油、救援的HC-130P飞机，10架用于压制米格战斗机的F-4战斗机，5架用于特种空中作战的F-105战斗机，以及若干架用于提供空中支援的A-7和F-8等海军作战飞机。
"
2,"[EA-6B电子战飞机,B-1B战略轰炸机,JASSM-ER巡航导弹,“战斧”巡航导弹]",其中西南方向和东南方向是主攻方向，使用的兵力及打击情况包括：“蒙特利尔”号巡洋舰和“拉本”号驱逐舰，部署在红海，发射37枚“战斧”巡航导弹；“希金斯”号，部署在波斯湾北部，发射23枚“战斧”巡航导弹；两架B-1B战略轰炸机在EA-6B电子战机的支援下，进入沙特北部阵位发射19枚JASSM-ER巡航导弹。
2,"[苏-30MKK战斗机,伊尔-78加油机]",而此次则有轰-6K轰炸机演练远海巡航导弹攻击；苏-30MKK战斗机在伊尔-78加油机的支援下负责全程护航，随时驱离敢于窥伺、干扰解放军机群的外军战机；运-8G电子战飞机提供现代空战不可或缺的电子压制、电磁掩护；图-154MD侦察机则在其他所有机型的掩护下，“安静”地做个数据和信息收集者。
2,"[F-35战斗机,EA-18G电子战机]","况且F-35不仅隐身性较好，其自身也具有较强的电子干扰能力，在EA-18G等专用电子战飞机的支援下，完全有能力突破雷达防御网的前沿，更深入地开展侦察或攻击行动。
"
2,"[空警-2000预警机,苏-35,歼-11]",文/人形自走炮5月11日这天，解放军空军再次组织远海飞行训练，和往常一样，这次空军机群再次环绕台湾；和往常不太一样的是，这次是东部和南部战区空军部队协同行动，出动了苏-35、歼-11、空警-2000、轰-6K等庞大机群，从南北两个方向，成作战体系编队，相对而行；可以说，这次是解放军空军非常罕见的一次作战体系展示，是让台湾感受到力量的绝对差距，也是对岛内某些人的警告！根据空军发布的官方消息，这次绕飞台岛巡航，空军组织两个战区空军协同实施，多架轰-6K战机分别从台岛南北两端同时双向飞行，空警-2000预警机和苏-35、歼-11等战机，前出巴士海峡、宫古海峡区域实施指挥控制和伴随掩护，预警侦察、轰炸突击、支援掩护一体行动，构建起海上空中作战力量体系。
2,"[F-35战斗机,B-2轰炸机,MQ-25]","F-35隐身战斗机与B-2轰炸机未来很有可能会增加MQ-25的身影F-35在MQ-25的空中支援下，同样可以延展空战半径，“肥电”的“小短腿”已经不再是问题需要指出的是,波音公司在MQ-25“黄貂鱼”上的采用的一系列设计表明，波音公司恐怕并没有将“黄貂鱼”完全当作一款舰载加油机而设计的。"
2,"[EF-111电子战飞机,A-6攻击机]","如果有较为完善的支援，A-6的战场生存能力也是不错的，利比亚黄金峡谷行动中，A-6在EF-111强力电子掩护下，躲过了100余枚防空导弹之后对既定目标发起攻击，成功完成攻击任务。
"
2,"[F-35战斗机,MQ-25]",以往，美国海军主要使用F/A-18E/F战斗机配合进行伙伴空中加油，而在MQ-25的支援下，F-35C更能够发挥出自身隐形突防的优势。
2,"[AH-1W超级眼镜蛇,AV-8B攻击机]","但在AH-1W超级眼镜蛇直升机与AV-8B鹞式攻击机的支援下，陆战队员们还是粉碎了伊军的抵抗。
"
2,"[59式中型坦克,J-6 J-7]","1979年1月，一万多名坦军在中国造59式坦克和歼-6、歼-7战斗机支援下，攻入乌干达境内，3月便逼近乌干达首都，乌干达总统阿明向利比亚总统卡扎菲求助。
"
2,"[F/A-18战斗攻击机,EA-18G电子战机]",美国海军领导人拒绝透露海军航空兵在反介入作战下的计划，但是从零散的信息中看出将通过F/A-18E/F和EA-18G联合作战来完成作战任务，包括进行提高生存能力的设计，使用远程武器、EA-18G的干扰支援。
2,"[轰6,苏-30型战斗机,伊尔-78加油机]",在越来越多地得到伊尔-78加油机的支援保障后，苏-30MKK、苏-35等远海训练主力战机将能实现巡航空域覆盖南部海域，或全程护航轰-6K轰炸机“绕岛”。
2,"[歼-20,Y-20]",之后歼20在运20加油机的支援下从内陆出击，对敌方驻守在第一岛链和东亚地区的军事目标实施打击。
2,"[歼-11,轰6,苏-35,空警-2000预警机]",具体来说，南部战区出动多架苏-35战斗机掩护轰-6K轰炸机穿过了巴士海峡，轰-6K轰炸机掉头北上，与东部战区出动的轰-6K轰炸机“南北夹击”绕行祖国宝岛，同时苏-35和歼-11战机掩护空警-2000预警机在西太平洋海域进行指挥和预警，协助轰-6K抢占发射阵位，进行轰炸突击演练，并进行了支援掩护一体化行动，构建了完整的海空联合作战体系。
2,"[轰6,苏-30型战斗机,伊尔-78加油机,苏-35]",在越来越多地得到伊尔-78加油机的支援保障后，苏-30MKK、苏-35等远海训练主力战机将能实现巡航空域覆盖南部海域，或全程护航轰-6K轰炸机“绕岛”。
2,"[歼-20,J-16,J-10]","从以上两张图看，明显反应了歼-20和歼-16、歼-10C正在进行一场进攻性制空作战，三者演练的是编队协作突防，也许是要打击某个军事基地或导弹阵地，在飞越沙漠时歼-20在前，就是利用自己的感知和隐身优势，先行夺取局部制空权，而歼-16、歼-10C在前，则是负责对地面目标进行远程精确打击。
"
2,"[歼-20,J-16,J-10]","从以上两张图看，明显反应了歼-20和歼-16、歼-10C正在进行一场进攻性制空作战，三者演练的是编队协作突防，也许是要打击某个军事基地或导弹阵地，在飞越沙漠时歼-20在前，就是利用自己的感知和隐身优势，先行夺取局部制空权，而歼-16、歼-10C在前，则是负责对地面目标进行远程精确打击。
"
2,"[F/A-18战斗攻击机,黄貂鱼加油机]","一架超级大黄蜂战机原本的作战半径为833公里，有黄貂鱼加油机的协助后，可以扩展到超过1300公里。
"
2,"[轰6,Y-20]","再如轰炸机轰-6K，本身3500公里的作战半径，再携带射程达到1500公里的长剑-20巡航导弹，在运-20加油机的协助下，一跃成为真正意义上的战略轰炸机。
"
2,"[F-22战斗机,B-2轰炸机]","三是尝试与五代机联合作战，在F-22战机提供信息支援和护航条件下，B-2战略轰炸机绕开敌方拦截，秘密进入战区实施作战并安全返回基地。
"
2,"[F-22战斗机,F-15战斗机]","F-15高级鹰装备TalonHATE通讯荚舱，与F-22之间进行实时联络，以及显示相同的侦察图像，因此能更好地配合作战。
"
2,"[F/A-18战斗攻击机,C-130运输机]","通常与海军陆战队的F/A-18C/D战机和KC-130J空中加油机进行联合作战训练。
"
2,"[F-35战斗机,F-22战斗机]","根据公开资料，F-21使用的APG-83雷达与F-35所用的APG-81雷达有95%的通用性，综合作战能力仅次于F-22使用的APG-77雷达，因此说F-21是F-22的小弟也有一定道理。
"
2,"[F-35战斗机,F-22战斗机]","而美国空军赋予该机的重要使命，就是与F-22、F-35两款第五代战机配合作战。
"
2,"[B-52战略轰炸机,F-35战斗机,F-22战斗机]","可将是B-52与F-22和F-35等隐形战斗机密切合作，使用新增的网络技术，既能保持其隐身性能，同时又有轰炸机强大的进攻性轰炸与空战导弹能力。
"
2,"[F-22战斗机,B-2轰炸机]","其间，B-2战略轰炸机进行“热加油”技术、模拟打击以及与F-22战机联合作战等课目演练。
"
2,"[F-22战斗机,B-2轰炸机]","F-22还能为B-2提供战场讯息与导引，相关联合训练有助于提高飞行员之间的合作协调能力。
"
2,"[歼-20,J-16,J-10]","歼-20已与歼-16和歼-10c战机实现联合作战，这使中国空军的实力达到了一个新的水平。
"
2,"[歼-11,轰6]","这一相对速度“优势”，使得轰-6G能与歼-11B更好地进行编队飞行、配合作战。
"
2,"[T-50型隐形战斗机,F/A-18战斗攻击机]","（F/A-18E/F舰载机与X-47B无人机合作飞行）根据俄方报道，我们可以得出这样一个结论，苏-57与&quot;猎人&quot;重型攻击无人机在飞行测试期间，完成了一次&quot;A射B导&quot;的模拟攻击演练。
"
2,"[F-35战斗机,F-22战斗机,F-15战斗机]","这种新型战斗机代号被称为F-15X，该机将采用F-15E系列最新型号的机体，但采用单座设计，具备携带大量空空、空地武器的能力，能作为“空中武器库”与F-22、F-35联合作战。
"
2,"[轰6,AH-64武装直升机]","AH-64E着舰训练近日美国陆军公布了AH-64E“守护神阿帕奇”直升机最新改进版本的详细计划，在此次的改进中将极大的提升AH-64E的海上攻击能力，同时更加强调武装直升机与无人机编队之间的配合作战，一此提高AH-64E武装直升机收集和共享信息、识别和攻击敌方目标以及避免防空火力威胁的总体能力。
"
2,"[歼-11,歼-20,苏-30型战斗机,J-16,J-10]","歼-10C已开展与歼-20联合作战的训练毫无疑问，歼-10B/C的出现将更好地贯彻中国空军“攻防兼备”的作战思想，现在歼-10B/C与歼-11B和歼-16一起，再加上苏-30MKK和苏-35的加盟，这些大多属于三代半水平的战机同时装备中国空军后，表明中国空军从“以量胜优”进入了“以优胜优”时代。
"
2,"[J-10,米格-29战斗机]","　　实际上，俄罗斯自己也在帮助中国制造飞机，其中作为米格-29竞争对手的歼-10和FC-1就是在俄罗斯米格公司协助下研制而成的，相关合同是由俄罗斯国防出口公司在俄联邦军事技术合作局允许的情况下拟定的。
"
2,"[F-22战斗机,B-2轰炸机]","F-22还能为B-2提供战场讯息与导引，相关联合训练有助于提高飞行员之间的合作协调能力。
"
2,"[歼-20,J-16,J-10]","局座之前讲战斗机、歼轰机的时候就说过，未来有人战斗机和无人机相互配合作战，攻击-11很有可能就会配合歼-20、歼-16、歼-10这些有人战机，伴随这些飞机执行任务。
"
2,"[F/A-18战斗攻击机,F-35战斗机]","届时，X-47B可与F/A-18或F-35C进行合理有效搭配，实现优势互补、联合作战。
"
2,"[轰6,歼-20,J-16,J-10]","此外，歼-20不仅可以自己飞，也可以和其他飞机进行联合作战，不仅可以与歼-10C、歼-16搭配，轰-6K等其他飞机都可以加入，形成一个高端的作战体系。
"
2,"[F/A-18战斗攻击机,EA-18G电子战机]","F/A-18E/F和EA-18G目前执行一系列范围广泛的任务，以支持航母战斗群和联合作战。
"
2,"[歼-20,J-16]","接受《环球时报》记者采访的中国军事专家表示，歼-16与歼-20配合作战，将充分发挥两者优势。
"
2,"[F-35战斗机,F-22战斗机]","　　军事专家兰顺正介绍，F-35战机是美国与部分盟国合作研制的第五代隐身战斗机，主要与F-22战机进行“高低搭配”作战，可胜任空战、对地支援和对海攻击等多项任务，作战性能虽略逊F-22战机，仍堪称战机中的“多面手”。
"
2,"[AH-1W超级眼镜蛇,AH-64武装直升机,AH-1武装直升机]","新的“阿帕奇”将与陆军的60架贝尔AH-1W“超级眼镜蛇”并肩合作。
"
2,"[F/A-18战斗攻击机,EA-18G电子战机]","美国海军领导人拒绝透露海军航空兵在反介入作战下的计划，但是从零散的信息中看出将通过F/A-18E/F和EA-18G联合作战来完成作战任务，包括进行提高生存能力的设计，使用远程武器、EA-18G的干扰支援。
"
2,"[歼-20,T-50型隐形战斗机]","中国空军应该购买苏-57，不仅可以作为歼-20的搭档，还可以与俄罗斯在更多方面进行合作。
"
2,"[歼-20,J-16]","接受《环球时报》记者采访的中国军事专家表示，歼-16与歼-20配合作战，将充分发挥两者优势。
"
2,"[歼-20,J-16]","　　那么，在一次空战任务中，歼-20能不能与歼-16搭档呢？上述专家表示，这实际上涉及三代机与四代机之间配合作战的问题，如果歼-16与歼-20搭档一同空战，首先要求两者有兼容的数据链系统，以便共享数据。
"
2,"[歼-20,J-16]","未来，歼16战机将成为歼20的搭档，与歼20一起联合作战。
"
2,"[歼-20,J-16]","未来，我国歼16战机将会至少建造500架以上，歼20肩负起战斗值班的任务之后，它将会与歼20联合作战，维护我国空中安全作出巨大的贡献。
"
2,"[歼-20,J-16]","那么，在一次空战任务中，歼-20能不能与歼-16搭档呢？上述专家表示，这实际上涉及三代机与四代机之间配合作战的问题，如果歼-16与歼-20搭档一同空战，首先要求两者有兼容的数据链系统，以便共享数据。
"
2,"[歼-20,J-16]","在实战中，就目前世界空军实力，空警－500与歼-20、歼-16、歼10C战机的合作，基本上达到了世界顶尖的水平。
"
2,"[图-160轰炸机,苏-30型战斗机,F-16]","据俄罗斯“RT新闻网”12月12日报道称，到访委内瑞拉的俄军两架图-160战略轰炸机近日与委内瑞拉空军的苏-30和F-16战机合作，在加勒比海水域上空进行了长达10小时的飞行训练。
"
2,"[歼-11,轰6]","这一相对速度“优势”，使得轰-6G能与歼-11B更好地进行编队飞行、配合作战。
"
2,"[歼-20,J-16]","【诸葛小彻军情观察第1736期】近日，中国空军发布了一篇题为“歼-16飞来了，歼-20的好搭档”的文章，并表示，歼-16与歼-20配合作战，强强联合，将充分发挥这两款战机的优势。
"
2,"[轰6,Y-20]","　　近期，国内报道表示，我国运-20“鲲鹏”号将改造为空中加油机，与具有续航限制的轰-6K相互配合，进行联合作战。
"
2,"[歼-11,轰6]","具体来说，南部战区出动多架苏-35战斗机掩护轰-6K轰炸机穿过了巴士海峡，轰-6K轰炸机掉头北上，与东部战区出动的轰-6K轰炸机“南北夹击”绕行祖国宝岛，同时苏-35和歼-11战机掩护空警-2000预警机在西太平洋海域进行指挥和预警，协助轰-6K抢占发射阵位，进行轰炸突击演练，并进行了支援掩护一体化行动，构建了完整的海空联合作战体系。
"
2,"[B-52战略轰炸机,F-35战斗机,F-22战斗机]","可将是B-52与F-22和F-35等隐形战斗机密切合作，使用新增的网络技术，既能保持其隐身性能，同时又有轰炸机强大的进攻性轰炸与空战导弹能力。
"
2,"[歼-20,Y-20]","因此，中国运20版加油机和歼20的配合作战问题，我们是需要研究的，只是，在此之前，我们要先拥有足够数量的战略型空中加油机。
"
